food_category,food_name,n
Meat and Fish,"Chicken Breast (baked, grilled)",41
Meat and Fish,"Turkey Breast (baked, grilled)",26
Meat and Fish,"White Fish (grilled,",3
Meat and Fish,"Salmon (baked, grilled)",3
Meat and Fish,Cod (baked),17
Meat and Fish,Fish (baked),8
Meat and Fish,Tilapia (baked),1
