food_category,food_name,n
"Spreads, Vegetable and Cooking oils",Almond butter,2
"Spreads, Vegetable and Cooking oils",Mustard,23
"Spreads, Vegetable and Cooking oils",Low-fat Cream Cheese,1
"Spreads, Vegetable and Cooking oils",Low-fat Cottage Cheese,10
"Spreads, Vegetable and Cooking oils",Olive Oil,45
