Gender,Age,aut1,aut2,aut3,aut4,com1,com2,com3,com4,rel1,rel2,rel3,rel4,CI1,CI2,CI3,CI4,CI5,CI6,PE1,PE2,PE3,PE4,PE5,PE6,ach1,ach2,self-perc
2,20,5,4,5,5,5,5,4,5,3,4,5,5,2,2,3,2,2,2,4,5,5,5,5,5,5,4,5
2,20,5,4,3,2,5,4,3,2,2,4,5,1,5,4,2,5,2,1,1,1,1,2,4,5,3.2,3,3
2,20,5,5,5,5,5,5,5,5,3,4,5,4,5,1,1,1,1,1,5,5,5,5,5,5,4.8,3,5
2,20,5,5,5,5,5,5,4,5,4,5,5,5,4,1,4,2,1,1,5,5,5,5,5,5,4.8,4,4
1,20,5,2,2,5,5,4,4,5,3,3,5,4,3,3,2,2,2,4,1,3,2,1,3,2,2.2,1,3
1,20,3,4,4,3,5,5,3,3,4,4,3,3,4,4,1,1,1,1,2,2,2,2,2,2,1.75,2,1
2,20,3,4,3,3,5,4,5,5,4,4,3,3,2,4,2,5,5,5,2,5,5,5,4,4,3,4,2
2,21,3,2,2,2,4,2,2,2,3,2,2,2,3,2,4,4,3,3,1,1,3,2,1,2,2.6,2,1
2,21,5,4,3,4,5,5,5,5,4,4,5,5,4,2,5,5,4,4,5,5,5,4,5,5,4.2,5,3
1,21,5,5,5,5,5,3,5,4,5,4,5,1,2,1,1,1,1,1,2,5,5,5,5,5,4.6,4,5
1,21,5,3,2,5,5,4,4,4,3,4,3,2,1,1,4,2,3,1,4,5,3,4,3,5,3.6,3,2
1,21,5,3,2,5,5,5,5,5,2,3,4,4,3,2,5,5,4,3,5,5,5,5,5,5,3.6,5,3
2,21,5,4,4,4,4,3,4,4,3,3,5,5,3,3,3,4,2,2,4,5,4,4,4,4,3.4,4,3
1,21,5,5,3,5,5,5,5,5,1,2,5,5,1,1,1,1,5,3,2,5,5,5,5,5,4.2,4,5
2,21,5,2,2,5,5,4,5,5,3,4,5,4,3,1,4,1,4,4,3,2,4,5,3,4,3.4,5,2
2,21,4,3,3,4,4,4,4,4,3,4,4,3,4,3,4,4,4,4,3,3,4,4,3,3,3.6,4,3
2,21,5,4,4,5,5,4,4,4,3,3,4,4,3,2,4,3,2,4,5,5,5,5,5,5,3.4,5,3
2,21,5,5,3,5,5,5,5,5,4,5,4,5,2,1,3,4,1,2,4,5,5,5,3,5,4,4,2
2,21,5,5,5,5,5,5,5,5,5,5,5,5,4,2,4,5,5,5,5,5,5,5,5,5,4.8,3,3
1,21,5,4,4,5,5,5,5,5,4,4,5,5,4,1,2,3,3,4,5,4,5,5,4,5,4.8,2,3
2,21,3,2,2,2,4,2,2,2,3,2,2,2,3,2,4,4,3,3,1,1,3,2,1,2,2.6,2,2
2,21,5,2,2,5,5,3,3,4,3,4,3,4,2,3,4,3,4,3,3,3,3,4,4,4,3,5,1
2,22,4,5,3,3,5,4,4,4,3,3,4,4,3,2,3,2,3,2,3,4,3,4,4,4,3.4,5,2
2,22,5,5,4,5,5,4,4,5,3,4,4,5,3,2,2,3,1,4,3,5,5,5,5,5,2.8,4,3
2,22,5,1,1,5,5,4,5,4,1,5,5,3,3,1,5,5,3,2,3,4,3,3,3,5,2.2,3,3
2,22,4,4,4,5,5,4,3,4,2,3,4,4,3,4,5,4,5,5,3,5,5,5,3,5,3,4,4
1,22,5,4,2,5,5,3,3,4,3,3,5,3,3,2,3,2,3,3,3,3,4,3,4,3,3.4,5,5
1,22,5,5,5,5,5,3,5,5,3,3,4,3,4,1,3,1,5,5,3,5,3,5,5,5,4.2,4,5
1,22,5,5,3,2,5,3,4,5,4,5,5,3,4,1,4,1,1,3,5,5,4,5,5,5,4.6,5,5
2,22,5,5,5,5,5,1,4,4,3,2,4,3,3,3,5,5,5,5,4,5,5,5,4,5,4.2,4,5
2,22,5,5,4,5,5,4,5,5,5,5,5,5,1,1,1,2,1,4,4,5,5,5,5,5,5,5,5
2,22,5,3,2,5,5,5,5,5,4,4,4,3,1,1,2,1,3,3,4,3,4,4,2,3,3.4,4,5
2,22,5,4,2,5,5,5,5,5,5,5,5,4,1,1,1,1,3,3,5,5,5,5,5,5,5,4,5
2,22,5,5,5,4,5,5,5,5,5,4,4,5,2,2,2,3,2,3,3,3,5,4,5,5,4,6,3
1,22,5,1,2,3,5,4,4,5,3,5,5,5,2,1,4,2,1,1,4,4,2,4,3,4,4,3,4
1,22,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,3,2,4,4,4,5,5,5,5,5,4
2,22,5,2,2,4,5,4,4,5,4,4,5,5,2,2,3,2,4,4,4,5,5,5,5,5,4.4,3,4
1,22,5,5,5,5,5,5,5,5,5,5,5,4,5,2,5,5,5,5,5,5,5,4,5,5,5,4,4
2,22,4,5,3,3,5,4,4,4,3,3,4,4,3,2,3,2,3,2,3,4,3,4,4,4,3.4,5,4
1,23,5,4,4,4,4,3,3,4,3,4,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2.8,3,2
2,23,4,5,5,5,4,4,4,4,2,2,4,1,4,5,5,4,4,4,2,2,4,4,2,4,3.2,4,3
2,23,5,4,3,4,5,4,4,4,3,5,5,4,3,2,3,2,4,2,4,5,5,4,5,4,4,5,4
2,23,5,5,4,4,4,2,3,4,3,2,4,3,4,3,4,5,5,5,5,3,5,5,4,5,4,4,3
2,23,4,3,3,4,4,2,4,4,2,2,5,3,4,3,4,4,4,4,2,2,2,2,4,4,3.2,5,4
1,23,5,4,3,5,5,4,5,5,3,4,2,3,4,5,2,1,1,1,4,5,4,4,5,5,4.4,6,4
2,23,5,5,4,4,5,4,5,5,4,3,5,3,2,1,1,3,2,2,4,5,5,5,5,5,3.6,4,4
2,23,5,4,3,5,5,4,5,5,3,4,5,4,3,1,2,2,4,4,4,5,5,5,5,5,3.4,6,4
1,23,5,5,4,3,5,5,5,5,5,4,5,3,4,3,4,3,4,3,3,4,4,4,4,4,4.2,5,4
2,23,5,4,4,4,5,4,3,3,4,5,4,4,4,2,3,3,4,4,3,4,4,4,3,3,4.2,6,4
2,23,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,4,5
2,23,5,5,5,5,5,5,5,5,5,5,5,5,4,2,4,4,4,5,5,4,5,5,5,5,4,4,2
1,23,5,4,4,4,4,3,3,4,3,4,1,2,2,1,1,2,2,1,2,2,2,1,1,2,2.8,3,1
2,23,4,5,5,5,4,4,4,4,2,2,4,1,4,5,5,4,4,4,2,2,4,4,2,4,3.2,4,1
2,23,5,4,3,4,5,4,4,4,3,5,5,4,3,2,3,2,4,2,4,5,5,4,5,4,4,5,4
1,24,5,5,5,5,4,3,4,5,4,5,5,3,5,4,5,4,5,4,5,4,3,5,4,5,3.25,4,2
2,24,5,4,2,5,5,4,4,4,4,3,5,3,5,4,5,5,5,5,2,4,4,3,5,5,3.2,5,3
1,24,5,5,5,5,5,4,4,4,5,3,5,5,3,1,3,4,3,5,5,5,5,5,3,4,4.2,2,3
2,24,5,3,4,2,4,3,4,4,3,3,4,3,4,2,3,3,3,3,3,4,3,4,4,4,3.6,4,4
1,24,5,5,4,4,5,3,5,3,3,3,3,4,3,2,4,4,4,3,2,3,3,3,3,4,3.75,5,3
2,24,5,3,3,2,5,3,2,5,2,2,3,2,4,4,4,3,3,4,3,4,4,5,4,4,3.8,4,3
2,24,5,3,3,2,5,4,5,5,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3
1,24,5,4,4,4,5,5,5,5,1,1,1,2,2,1,5,2,3,3,4,2,4,4,5,5,3.2,6,3
2,24,5,5,5,3,4,4,1,5,2,3,5,1,4,4,3,3,2,3,2,4,3,3,5,5,4.6,3,4
2,24,5,4,4,4,5,4,2,4,3,2,4,4,3,2,4,3,5,4,3,2,3,3,5,4,3.2,5,3
2,24,5,3,2,5,4,3,4,5,2,2,2,3,4,4,4,4,4,3,2,2,3,3,3,3,2.8,5,2
2,24,5,5,5,5,5,5,4,5,5,3,5,5,2,2,2,3,2,2,4,4,4,4,5,5,4.2,6,5
