	Unnamed: 0	author	published_at	updated_at	like_count	text	newtext
1846	8.0	TocTocTrax	2021-11-17T11:58:13Z	2021-11-17T11:58:13Z	1	Great upload!! Keep up the excellent work!! I&#39;m looking forward to another awesome video!! Take care and stay in touch!!»»	Great upload!! Keep up the excellent work!! I&#39;m looking forward to another awesome video!! Take care and stay in touch!!»»
1847		GoldenBite	2021-09-01T06:31:31Z	2021-09-01T06:31:31Z	1	Mouth watering!	Mouth watering!
1848	11.0	narimanyahya7352	2021-08-21T23:04:50Z	2021-08-21T23:04:50Z	0	Lekker	Lekker
1849	13.0	natxlla1522	2021-08-13T05:36:00Z	2021-08-13T05:36:00Z	0	Omg ur back	Omg you are back
1850	14.0	samresh_subudhi	2021-07-20T04:57:03Z	2021-07-20T04:57:03Z	3	It looks very good	It looks very good
1851	15.0	WanZaynASMR	2021-07-14T11:47:33Z	2021-07-14T11:47:33Z	2	Wow!!! Yummy..	Wow!!! Yummy..
1852	16.0	lovinkookie.4708	2021-07-11T23:11:08Z	2021-07-11T23:11:08Z	3	Yayy youre back!	Yayy you are back!
1853	17.0	ALEats1437	2021-07-07T15:37:49Z	2021-07-07T15:37:49Z	3	It&#39;s amazing	It&#39;s amazing
1854	18.0	Sanaz.TravelVlog	2021-07-05T13:37:47Z	2021-07-05T13:37:47Z	3	so good 	so good 
1855	19.0	stefanstefan7118	2021-07-05T10:41:45Z	2021-07-05T10:41:45Z	19	Lekker man	Lekker man
1856	20.0	natty2patty	2021-07-04T23:24:04Z	2021-07-04T23:24:04Z	3	he back	he back
1857	1.0	Woneveryoung	2021-11-02T05:48:35Z	2021-11-02T05:48:35Z	1	Hii di you are so close to 50k subs Woohoo loved the video¨	Hii di you are so close to 50k subs Woohoo loved the video¨
1858	2.0	valentinafernandes2724	2021-10-30T14:54:35Z	2021-10-30T14:54:35Z	0	Best video	Best video
1859	3.0	priyanarayanan160	2021-10-30T12:26:42Z	2021-10-30T12:26:42Z	0	Mouthwatering	Mouthwatering
1860	4.0	hedonisticguy9248	2021-10-28T14:08:35Z	2021-10-28T14:08:35Z	0	Pls bless me with ur burps	Pls bless me with you are burps
1861	5.0	rajiyahalder1994	2021-10-28T11:46:34Z	2021-10-28T11:46:34Z	1	Maharaja bite 	Maharaja bite
1862	6.0	shivashivaprasad3529	2021-10-28T11:29:34Z	2021-10-28T11:29:34Z	1	Waaao	Waaao
1863	9.0	Avinashkumar-xr1ut	2021-10-28T07:22:12Z	2021-10-28T07:22:12Z	1	Nyc one	Nyc one
1864	10.0	akanshabanswal1546	2021-10-28T07:08:11Z	2021-10-28T07:08:11Z	2	This Chinese mukbang is love even all ur mukbangs are best 	This Chinese mukbang is love even all you are mukbangs are best
1865	12.0	humblegirl2157	2021-10-28T06:52:51Z	2021-10-28T06:52:51Z	3	always wonderful videos.......  I never miss any of your video...fav u tuber of mine 	always wonderful videos....... I never miss any of your video...fav you tuber of mine
1866	13.0	vardeepkaurgill5031	2021-10-28T06:32:41Z	2021-10-28T06:32:41Z	3	Maharaja bite was my favourite part 	Maharaja bite was my favourite part 
1867	14.0	a.s.yaduvanshi8323	2021-10-28T06:30:00Z	2021-10-28T06:30:00Z	2	Waaao	Waaao
1868	15.0	humakhan6855	2021-10-28T05:16:40Z	2021-10-28T05:16:40Z	2	Love you didi	Love you didi
1869	16.0	shubhasreebiswas633	2021-10-28T05:09:25Z	2021-10-28T05:09:25Z	3	Yummm	Yummm
1870	17.0	anchallama2003	2021-10-28T05:06:28Z	2021-10-28T05:06:28Z	2	Love to watch ur videos 	Love to watch you are videos
1871	0.0	warungkansa4210	2023-05-24T14:39:06Z	2023-05-24T14:39:06Z	0	Teraa i always love your videos look so delicious can you try Indonesian food again tera?? Thank you i love youu	Teraa i always love your videos look so delicious can you try Indonesian food again tera?? Thank you i love youu
1872	5.0	BangJemz-MUKBANG-ASMR	2023-05-17T00:01:53Z	2023-05-17T00:01:53Z	0	Salam kreator mukbang Indonesia	Salam kreator mukbang Indonesia
1873	8.0	applebites4015	2023-05-16T14:12:31Z	2023-05-16T14:12:31Z	1	Yumyum watching this before going to sleep.	Yumyum watching this before going to sleep.
1874	9.0	mandaadelin	2023-05-16T13:40:56Z	2023-05-16T13:40:56Z	0	Mau bikin saos gitu tapi gatau apa aja resepnya­	Mau bikin saos gitu tapi gatau apa aja resepnya­
1875	10.0	elreyjohn1705	2023-05-16T12:55:25Z	2023-05-16T12:56:12Z	2	OMGldelicious Indian food I also want to try.. the shrimp was big. Everything look so good. Nice sound too.	OMGldelicious Indian food I also want to try.. the shrimp was big. Everything look so good. Nice sound too.
1876	11.0	deborakristiana4408	2023-05-16T11:23:46Z	2023-05-16T11:23:46Z	2	Who is amazed by the prawns? Yes	Who is amazed by the prawns? Yes
1877	12.0	anieszakiyya1328	2023-05-16T11:12:08Z	2023-05-16T11:12:08Z	0	the prawns oh god my mouth is watering	the prawns oh god my mouth is watering
1878	14.0	angelannasthasia3385	2023-05-16T10:10:29Z	2023-05-16T10:10:29Z	1	Curry lamb must be 	Curry lamb must be
1879	15.0	akhilan415	2023-05-16T09:33:08Z	2023-05-16T09:33:08Z	0	Tysm for accept my request love from India	Tysm for accept my request love from India
1880	0.0	jayr6839	2024-01-23T06:28:15Z	2024-01-23T06:28:15Z	0	Plot twist: He actually thinks its nasty	Plot twist: He actually thinks its nasty
1881	2.0	tocaxmariess	2023-08-21T22:19:08Z	2023-08-21T22:19:08Z	1	One of the best families on yttt	One of the best families on yttt
1882	3.0	time2shinex707	2023-07-29T06:23:01Z	2023-07-29T06:23:01Z	0	Nasty Nigerian food..	Nasty Nigerian food..
1883	4.0	coffeejackson9261	2023-07-19T13:21:05Z	2023-07-19T13:21:05Z	0	this is hilarious	this is hilarious
1884	5.0	ajeylaniASA	2023-07-01T06:46:48Z	2023-07-01T06:46:48Z	0	He got you so good 	He got you so good
1885	6.0	AQUEEN2HERKINGAKING2HISQUEEN	2023-06-19T18:06:22Z	2023-06-19T18:06:22Z	1	I LOVE WATCHING THE TQF CHANNEL 	I LOVE WATCHING THE TQF CHANNEL
1886	7.0	nasrohasan4943	2023-06-19T13:55:35Z	2023-06-19T13:55:35Z	1	We need back prank	We need back prank
1887	8.0	naturalinspirationsbynekod2143	2023-06-12T23:42:43Z	2023-06-12T23:42:43Z	1	Oh no John didn&#39;t	Oh no John didn&#39;t
1888	10.0	Prettydept_	2023-06-08T02:01:26Z	2023-06-08T02:01:26Z	0	You and your wife should do a cooking competition	You and your wife should do a cooking competition
1889	11.0	quamijae2707	2023-06-07T22:46:49Z	2023-06-07T22:47:12Z	0	I always wanted to know why do you guys swallow the fufu and not chew	I always wanted to know why do you guys swallow the fufu and not chew
1890	12.0	mariegordon97	2023-06-07T19:47:20Z	2023-06-07T19:47:20Z	0	Did he just spit in the kitchen sink??	Did he just spit in the kitchen sink??
1891	13.0	mariegordon97	2023-06-07T13:45:33Z	2023-06-07T13:45:33Z	0	U cant prank someone about the food &amp; I keep eating all it should be from the very start u dont like it	YOU cannot prank someone about the food &amp; I keep eating all it should be from the very start you do not like it
1892	14.0	user-sk4ry9hr5d	2023-06-05T19:25:32Z	2023-06-05T19:25:32Z	0	I cant stop laughing that was a good prank	I cannot stop laughing that was a good prank
1893	15.0	mbomborebecca2253	2023-06-05T17:51:39Z	2023-06-05T17:51:39Z	0	I can see that he does not like it 	I can see that he does not like it
1894	16.0	tf2432277	2023-06-04T14:36:08Z	2023-06-04T14:36:08Z	0	Lol that fufu nasty huh ?? Haha	Lol that fufu nasty huh ?? Haha
1895	17.0	Essynana55	2023-06-04T08:31:07Z	2023-06-04T08:31:07Z	0	So funny	So funny
1896	18.0	pearly__	2023-06-04T06:17:05Z	2023-06-04T06:17:05Z	2	As a Nigerian	As a Nigerian
1897	19.0	mocansing123sc5	2023-06-04T04:36:11Z	2023-06-04T04:36:11Z	0	Great video I love the pranks	Great video I love the pranks
1898	20.0	jazzlewis1405	2023-06-03T14:02:25Z	2023-06-03T14:02:25Z	0	 Lmaaaooo. John was great at pranks..	Lmaaaooo. John was great at pranks..
1899	21.0	jnelletrim1478	2023-06-03T11:05:10Z	2023-06-03T11:05:10Z	0	Remember God loves youJohn 3:16 For God so loved the world that he gave his only begotten son that whosoever believeth in him should not perish but have everlasting life.Please repent	Remember God loves youJohn 3:16 For God so loved the world that he gave his only begotten son that whosoever believeth in him should not perish but have everlasting life.Please repent
1900	22.0	ronkeanimashaun156	2023-06-03T03:42:14Z	2023-06-03T03:42:14Z	0	Good one John	Good one John
1901	23.0	sheritafarrow3884	2023-06-02T21:38:24Z	2023-06-02T21:38:24Z	0	Loved it!!!	Loved it!!!
1902	24.0	kimlee3158	2023-06-02T16:57:39Z	2023-06-02T16:57:39Z	4	Dad&#39;s feelings was hurt  but he kept it classy. We have a new white king of pranks lmaooooo	Dad&#39;s feelings was hurt but he kept it classy. We have a new white king of pranks lmaooooo
1903	26.0	MERRY4098	2023-06-02T15:40:59Z	2023-06-02T15:40:59Z	6	The person behind that burnet advert should take it seriously	The person behind that burnet advert should take it seriously
1904	27.0	sweetcandies8180	2023-06-02T03:03:48Z	2023-06-02T03:03:48Z	2	Interesting	Interesting
1905	28.0	AlexiaSanti-op6hs	2023-06-02T01:07:23Z	2023-06-02T01:07:23Z	3	Josh is so nervous  he&#39;s anxiety 	Josh is so nervous he&#39;s anxiety
1906	30.0	E_starJ48	2023-06-01T20:04:43Z	2023-06-01T20:04:43Z	1	  well done Jon	well done Jon
1907	31.0	mollys360kitchen7	2023-06-01T19:15:07Z	2023-06-01T19:15:07Z	8	The food looks so delicious 	The food looks so delicious
1908	33.0	gabrielnadia1085	2023-06-01T16:36:00Z	2023-06-01T16:36:00Z	16	Dad Kelvin is So protector of his wife&#39;s cooking and polite. GOD bless him.	Dad Kelvin is So protector of his wife&#39;s cooking and polite. GOD bless him.
1909	34.0	Abby-vp3xy	2023-06-01T16:26:27Z	2023-06-01T16:26:27Z	1	the way im wattering for that food is unstopable	the way i am wattering for that food is unstopable
1910	35.0	ritalangley66	2023-06-01T15:35:54Z	2023-06-01T15:35:54Z	1	That was funny 	That was funny
1911	36.0	abyke	2023-06-01T15:25:20Z	2023-06-01T15:25:20Z	3	POV: The irony in this picture is the white guy is wearing a black tshirt	POV: The irony in this picture is the white guy is wearing a black tshirt
1912	37.0	LondonJahzara2011	2023-06-01T13:53:07Z	2023-06-01T13:53:07Z	4	John couldn&#39;t contain himself in the end he was well ready to eat that food.	John couldn&#39;t contain himself in the end he was well ready to eat that food.
1913	39.0	Life.w.deanna	2023-06-01T12:23:59Z	2023-06-01T12:23:59Z	0	I love ur channel plz reply	I love you are channel plz reply
1914	40.0	sarahk58	2023-06-01T10:58:52Z	2023-06-01T10:58:52Z	2	The prank was really good the best prank  love it	The prank was really good the best prank love it
1915	41.0	kekiplus1andonly	2023-05-31T22:16:39Z	2023-05-31T22:16:39Z	1	wahala wahala	wahala wahala
1916	42.0	kerenkeziaofficial	2023-05-31T21:44:10Z	2023-05-31T21:44:10Z	3	John really tried	John really tried
1917	44.0	badikay7972	2023-05-31T18:49:10Z	2023-05-31T18:49:37Z	15	This was so sweet  he did so well½½ cant wait to see how you guys prank him back	This was so sweet he did so well½½ cannot wait to see how you guys prank him back
1918	46.0	2251_	2023-05-31T13:37:41Z	2023-05-31T13:37:41Z	0	The man never ate his food probably had an after kebab	The man never ate his food probably had an after kebab
1919	47.0	michellemahachi9012	2023-05-31T13:03:34Z	2023-05-31T13:03:34Z	11	Well done Michelle for teaming up with John great prank	Well done Michelle for teaming up with John great prank
1920	49.0	teetheeovercomer	2023-05-31T12:25:05Z	2023-06-01T23:07:16Z	5	Very Funny. Best one yet because it was unexpected. Great job Michelle and John!!	Very Funny. Best one yet because it was unexpected. Great job Michelle and John!!
1921	50.0	marlianc2814	2023-05-31T10:55:57Z	2023-05-31T10:55:57Z	2	Tbh I just wanted to jump through the screen to get that food	To Be Honest I just wanted to jump through the screen to get that food
1922	52.0	CelestineWaters-qn6vo	2023-05-31T10:02:25Z	2023-05-31T10:02:25Z	1	Good one Jhon 	Good one Jhon
